MSA_GEOID,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,Pollutant 1990,Pollutant 1991,Pollutant 1992,Pollutant 1993,Pollutant 1994,Pollutant 1995,Pollutant 1996,Pollutant 1997,Pollutant 1998,Pollutant 1999,Pollutant 2000,Pollutant 2001,Pollutant 2002,Pollutant 2003,Pollutant 2004,Pollutant 2005,Pollutant 2006,Pollutant 2007,Pollutant 2008,Pollutant 2009,Pollutant 2010,Pollutant 2011,Pollutant 2012,Pollutant 2013,Pollutant 2014,Pollutant 2015,Pollutant 2016,MSA,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000,Population 2001,Population 2002,Population 2003,Population 2004,Population 2005,Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010,state(s),cbsafp,affgeoid,geoid,name,csafp,aland,awater,cartodb_id,created_at,lsad,region
49700,"Yuba City, CA",O3,4th Max,1,0.076,0.08,0.09,0.078,0.089,0.085,0.085,0.072,0.088,0.083,0.079,0.081,0.08,0.076,0.073,0.073,0.078,0.072,0.068,0.066,0.066,0.064,0.069,0.06,0.069,0.064,0.063,"Yuba City, CA MSA",122643,124293.6,125944.2,127594.8,129245.4,130896,132546.6,134197.2,135847.8,137498.4,139149,141923.3,144697.6,147471.9,150246.2,153020.5,155794.8,158569.1,161343.4,164117.7,166892,99.5,100.83,102.16,103.49,104.82,106.15,107.48,108.81,110.14,111.47,112.8,115.04,117.28,119.52,121.76,124,126.24,128.48,130.72,132.96,135.2, CA,49700,310M200US49700,49700,"Yuba City, CA",472,3197202340,46750406,607,2015-03-23 13:36:50.527643+00,M1,Far West
49660,"Youngstown-Warren-Boardman, OH-PA",O3,4th Max,2,0.09,0.093,0.09,0.085,0.086,0.094,0.09,0.092,0.103,0.093,0.081,0.091,0.099,0.088,0.077,0.085,0.077,0.082,0.077,0.07,0.075,0.073,0.082,0.066,0.068,0.066,0.068,"Youngstown--Warren, OH MSA",492619,502831.7,513044.4,523257.1,533469.8,543682.5,553895.2,564107.9,574320.6,584533.3,594746,591848.7,588951.4,586054.1,583156.8,580259.5,577362.2,574464.9,571567.6,568670.3,565773,477.8,468.04,458.28,448.52,438.76,429,419.24,409.48,399.72,389.96,380.2,375.41,370.62,365.83,361.04,356.25,351.46,346.67,341.88,337.09,332.3, OH-PA,49660,310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA",566,4409142508,108732898,855,2015-03-23 13:36:50.527643+00,M1,Great Lakes
49620,"York-Hanover, PA",O3,4th Max,1,0.097,0.1,0.083,0.09,0.082,0.086,0.081,0.094,0.095,0.094,0.09,0.087,0.101,0.081,0.077,0.089,0.077,0.084,0.081,0.068,0.073,0.074,0.076,0.068,0.063,0.068,0.069,"York, PA MSA",417848,414238.3,410628.6,407018.9,403409.2,399799.5,396189.8,392580.1,388970.4,385360.7,381751,387073.1,392395.2,397717.3,403039.4,408361.5,413683.6,419005.7,424327.8,429649.9,434972,293.3,306.18,319.06,331.94,344.82,357.7,370.58,383.46,396.34,409.22,422.1,428,433.9,439.8,445.7,451.6,457.5,463.4,469.3,475.2,481.1, PA,49620,310M200US49620,49620,"York-Hanover, PA",276,2341819924,16940560,650,2015-03-23 13:36:50.527643+00,M1,Mideast
49340,"Worcester, MA-CT",O3,4th Max,1,0.097,0.097,0.097,0.092,0.097,0.096,0.074,0.092,0.097,0.093,0.076,0.088,0.091,0.08,0.074,0.085,0.077,0.089,0.081,0.077,0.07,0.065,0.07,0.067,0.065,0.063,0.066,"Worcester, MA--CT PMSA",436905,444353.4,451801.8,459250.2,466698.6,474147,481595.4,489043.8,496492.2,503940.6,511389,540105.3,568821.6,597537.9,626254.2,654970.5,683686.8,712403.1,741119.4,769835.7,798552,622.2,619.4,616.6,613.8,611,608.2,605.4,602.6,599.8,597,594.2,587.64,581.08,574.52,567.96,561.4,554.84,548.28,541.72,535.16,528.6, MA-CT,49340,310M200US49340,49340,"Worcester, MA-CT",148,5240892553,199153478,537,2015-03-23 13:36:50.527643+00,M1,New England
48900,"Wilmington, NC",O3,4th Max,1,0.082,0.083,0.083,0.083,0.082,0.079,0.076,0.083,0.087,0.067,0.08,0.078,0.08,0.076,0.07,0.075,0.072,0.071,0.063,0.06,0.062,0.064,0.064,0.064,0.063,0.057,0.06,"Wilmington, NC MSA",120284,131600.6,142917.2,154233.8,165550.4,176867,188183.6,199500.2,210816.8,222133.4,233450,246336.5,259223,272109.5,284996,297882.5,310769,323655.5,336542,349428.5,362315,520.2,490.33,460.46,430.59,400.72,370.85,340.98,311.11,281.24,251.37,221.5,218.34,215.18,212.02,208.86,205.7,202.54,199.38,196.22,193.06,189.9, NC,48900,310M200US48900,48900,"Wilmington, NC",,2749031421,516884897,622,2015-03-23 13:36:50.527643+00,M1,Southeast
48620,"Wichita, KS",O3,4th Max,1,0.077,0.072,0.07,0.059,0.067,0.069,0.074,0.079,0.083,0.079,0.08,0.084,0.079,0.08,0.068,0.074,0.073,0.06,0.067,0.072,0.075,0.079,0.08,0.071,0.069,0.064,0.062,"Wichita, KS MSA",485270,491265,497260,503255,509250,515245,521240,527235,533230,539225,545220,553004.1,560788.2,568572.3,576356.4,584140.5,591924.6,599708.7,607492.8,615276.9,623061,163.5,165.53,167.56,169.59,171.62,173.65,175.68,177.71,179.74,181.77,183.8,171.2,158.6,146,133.4,120.8,108.2,95.6,83,70.4,57.8, KS,48620,310M200US48620,48620,"Wichita, KS",556,12981358617,92861352,732,2015-03-23 13:36:50.527643+00,M1,Plains
48140,"Wausau, WI",O3,4th Max,1,0.081,0.081,0.081,0.066,0.064,0.075,0.07,0.068,0.077,0.084,0.073,0.072,0.073,0.074,0.065,0.075,0.066,0.072,0.064,0.06,0.06,0.065,0.069,0.063,0.064,0.063,0.064,"Wausau, WI MSA",115400,116443.4,117486.8,118530.2,119573.6,120617,121660.4,122703.8,123747.2,124790.6,125834,126656.9,127479.8,128302.7,129125.6,129948.5,130771.4,131594.3,132417.2,133240.1,134063,74.7,75.37,76.04,76.71,77.38,78.05,78.72,79.39,80.06,80.73,81.4,81.94,82.48,83.02,83.56,84.1,84.64,85.18,85.72,86.26,86.8, WI,48140,310M200US48140,48140,"Wausau, WI",554,4001546323,81139027,41,2015-03-23 13:36:50.527643+00,M1,Great Lakes
47300,"Visalia-Porterville, CA",O3,4th Max,2,0.099,0.098,0.1,0.107,0.108,0.1,0.104,0.096,0.102,0.099,0.095,0.098,0.105,0.098,0.092,0.096,0.095,0.089,0.103,0.086,0.087,0.08,0.088,0.081,0.082,0.085,0.082,"Visalia--Tulare--Porterville, CA MSA",311921,317531,323141,328751,334361,339971,345581,351191,356801,362411,368021,375436.8,382852.6,390268.4,397684.2,405100,412515.8,419931.6,427347.4,434763.2,442179,64.7,65.86,67.02,68.18,69.34,70.5,71.66,72.82,73.98,75.14,76.3,77.84,79.38,80.92,82.46,84,85.54,87.08,88.62,90.16,91.7, CA,47300,310M200US47300,47300,"Visalia-Porterville, CA",546,12494776154,37391591,673,2015-03-23 13:36:50.527643+00,M1,Far West
47220,"Vineland-Bridgeton, NJ",O3,4th Max,1,0.11,0.107,0.087,0.103,0.086,0.091,0.086,0.104,0.098,0.096,0.094,0.101,0.101,0.085,0.083,0.085,0.083,0.083,0.079,0.072,0.077,0.066,0.084,0.061,0.067,0.068,0.069,"Vineland--Millville--Bridgeton, NJ PMSA",138053,138891.5,139730,140568.5,141407,142245.5,143084,143922.5,144761,145599.5,146438,147484,148530,149576,150622,151668,152714,153760,154806,155852,156898,282.1,283.82,285.54,287.26,288.98,290.7,292.42,294.14,295.86,297.58,299.3,301.81,304.32,306.83,309.34,311.85,314.36,316.87,319.38,321.89,324.4, NJ,47220,310M200US47220,47220,"Vineland-Bridgeton, NJ",428,1252937982,502092013,632,2015-03-23 13:36:50.527643+00,M1,Mideast
47020,"Victoria, TX",O3,4th Max,1,0.078,0.078,0.078,0.081,0.078,0.087,0.071,0.078,0.078,0.086,0.079,0.073,0.078,0.084,0.075,0.071,0.071,0.066,0.062,0.068,0.068,0.074,0.066,0.062,0.062,0.07,0.064,"Victoria, TX MSA",74361,75333.7,76306.4,77279.1,78251.8,79224.5,80197.2,81169.9,82142.6,83115.3,84088,87217.6,90347.2,93476.8,96606.4,99736,102865.6,105995.2,109124.8,112254.4,115384,84.3,85.4,86.5,87.6,88.7,89.8,90.9,92,93.1,94.2,95.3,90.92,86.54,82.16,77.78,73.4,69.02,64.64,60.26,55.88,51.5, TX,47020,310M200US47020,47020,"Victoria, TX",544,4491432457,36383637,570,2015-03-23 13:36:50.527643+00,M1,Southwest
