Population,Sq.Km.,Sq.Mi.,Pop.Per.Sq.Km.,Pop.Per.Sq.Mi.,Name
119655,2371.7,915.7,50.5,130.7,"""Abilene, TX MSA"""
657575,2344.5,905.2,280.5,726.4,"""Akron, OH PMSA"""
112561,1775.4,685.5,63.4,164.2,"""Albany, GA MSA"""
874304,8413.6,3248.5,103.9,269.1,"""Albany-Schenectady-Troy, NY MSA"""
480577,3020.4,1166.2,159.1,412.1,"""Albuquerque, NM MSA"""
131556,3425.7,1322.7,38.4,99.5,"""Alexandria, LA MSA"""
686688,3784,1461,181.5,470,"""Allentown-Bethlehem, PA-NJ MSA"""
130542,1361.9,525.8,95.9,248.3,"""Altoona, PA MSA"""
187547,4723.9,1823.9,39.7,102.8,"""Amarillo, TX MSA"""
2410556,2045.3,789.7,1178.6,3052.6,"""Anaheim-Santa Ana, CA PMSA"""
226338,4396.9,1697.6,51.5,133.3,"""Anchorage, AK MSA"""
130669,1171.1,452.2,111.6,289,"""Anderson, IN MSA"""
145196,1859.7,718,78.1,202.2,"""Anderson, SC MSA"""
282937,1839.1,710.1,153.8,398.5,"""Ann Arbor, MI PMSA"""
116034,1576,608.5,73.6,190.7,"""Anniston, AL MSA"""
315121,3623.1,1398.9,87,225.3,"""Appleton-Oshkosh-Neenah, WI MSA"""
174821,1699.8,656.3,102.8,266.4,"""Asheville, NC MSA"""
156267,2417.6,933.4,64.6,167.4,"""Athens, GA MSA"""
2833511,13264.7,5121.5,213.6,553.3,"""Atlanta, GA MSA"""
319416,2114.4,816.4,151.1,391.3,"""Atlantic City, NJ MSA"""
396809,5042.7,1947,78.7,203.8,"""Augusta, GA-SC MSA"""
356884,2179.1,841.4,163.8,424.2,"""Aurora-Elgin, IL PMSA"""
781572,7230.5,2791.7,108.1,280,"""Austin, TX MSA"""
543477,21086.8,8141.6,25.8,66.8,"""Bakersfield, CA MSA"""
2382172,6758,2609.3,352.5,913,"""Baltimore, MD MSA"""
88745,911.2,351.8,97.4,252.2,"""Bangor, ME MSA"""
528264,4109.1,1586.5,128.6,333,"""Baton Rouge, LA MSA"""
135982,1836,708.9,74.1,191.8,"""Battle Creek, MI MSA"""
361226,5579.9,2154.4,64.7,167.7,"""Beaumont-Port Arthur, TX MSA"""
186093,1127.3,435.3,165.1,427.5,"""Beaver County, PA PMSA"""
127780,5490.9,2120.1,23.3,60.3,"""Bellingham, WA MSA"""
161378,1479,571,109.1,282.6,"""Benton Harbor, MI MSA"""
1278440,1085.9,419.3,1177.3,3049.3,"""Bergen-Passaic, NJ PMSA"""
113419,6825.2,2635.2,16.6,43,"""Billings, MT MSA"""
197125,2740,1057.9,71.9,186.3,"""Biloxi-Gulfport, MS MSA"""
264497,3174.3,1225.6,83.3,215.8,"""Binghamton, NY MSA"""
907810,10312.6,3981.7,88,228,"""Birmingham, AL MSA"""
83831,9219.4,3559.6,9.1,23.6,"""Bismarck, ND MSA"""
108978,1021.4,394.4,106.7,276.3,"""Bloomington, IN MSA"""
129180,3065.6,1183.6,42.1,109.1,"""Bloomington-Normal, IL MSA"""
205775,2732.6,1055,75.3,195,"""Boise City, ID MSA"""
2870669,4559,1760.2,629.7,1630.9,"""Boston, MA PMSA"""
4171643,8042.7,3105.3,518.7,1343.4,"""Boston-Lawrence-Salem, MA-NH CMSA"""
225339,1923,742.5,117.2,303.5,"""Boulder-Longmont, CO PMSA"""
211707,1919.7,741.2,110.3,285.6,"""Bradenton, FL MSA"""
191707,3592,1386.9,53.4,138.2,"""Brazoria, TX PMSA"""
189731,1025.6,396,185,479.1,"""Bremerton, WA MSA"""
443722,678.2,261.9,654.3,1694.6,"""Bridgeport-Milford, CT PMSA"""
79488,202.1,78,393.3,1018.6,"""Bristol, CT PMSA"""
189478,382.1,147.5,495.9,1284.3,"""Brockton, MA PMSA"""
260120,2345.4,905.6,110.9,287.2,"""Brownsville-Harlingen, TX MSA"""
121862,1517.3,585.8,80.3,208,"""Bryan-College Station, TX MSA"""
968532,2705.7,1044.7,358,927.1,"""Buffalo, NY PMSA"""
1189288,4060.2,1567.6,292.9,758.7,"""Buffalo-Niagara Falls, NY CMSA"""
108213,1115.5,430.7,97,251.3,"""Burlington, NC MSA"""
131439,1124,434,116.9,302.9,"""Burlington, VT MSA"""
394106,2514.5,970.9,156.7,405.9,"""Canton, OH MSA"""
61226,13830.7,5340.1,4.4,11.5,"""Casper, WY MSA"""
168767,1858.4,717.5,90.8,235.2,"""Cedar Rapids, IA MSA"""
173025,2582.7,997.2,67,173.5,"""Champaign-Urbana-Rantoul, IL MSA"""
506875,6712.6,2591.8,75.5,195.6,"""Charleston, SC MSA"""
250454,3236,1249.4,77.4,200.5,"""Charleston, WV MSA"""
1162093,8750.5,3378.6,132.8,344,"""Charlotte-Gastonia-Rock Hill, NC-SC MSA"""
131107,3048.6,1177.1,43,111.4,"""Charlottesville, VA MSA"""
433210,5414.8,2090.6,80,207.2,"""Chattanooga, TN-GA MSA"""
73142,6957.4,2686.2,10.5,27.2,"""Cheyenne, WY MSA"""
6069974,4880.2,1884.3,1243.8,3221.4,"""Chicago, IL PMSA"""
8065633,14552.9,5618.9,554.2,1435.5,"""Chicago-Gary-Lake County, IL-IN-WI CMSA"""
182120,4246.6,1639.6,42.9,111.1,"""Chico, CA MSA"""
1452645,5503.7,2125,263.9,683.6,"""Cincinnati, OH-KY-IN PMSA"""
1744124,6714,2592.3,259.8,672.8,"""Cincinnati-Hamilton, OH-KY-IN CMSA"""
169439,3264.8,1260.5,51.9,134.4,"""Clarksville-Hopkinsville, TN-KY MSA"""
1831122,3916.6,1512.2,467.5,1210.9,"""Cleveland, OH PMSA"""
2759823,7536.9,2910,366.2,948.4,"""Cleveland-Akron-Lorain, OH CMSA"""
397014,5508.1,2126.7,72.1,186.7,"""Colorado Springs, CO MSA"""
112379,1775.1,685.4,63.3,164,"""Columbia, MO MSA"""
453331,3774.5,1457.4,120.1,311.1,"""Columbia, SC MSA"""
243072,2865.2,1106.2,84.8,219.7,"""Columbus, GA-AL MSA"""
1377419,9269.2,3578.8,148.6,384.9,"""Columbus, OH MSA"""
349894,3956.6,1527.7,88.4,229,"""Corpus Christi, TX MSA"""
101643,1950.6,753.1,52.1,135,"""Cumberland, MD-WV MSA"""
2553362,11579.9,4471,220.5,571.1,"""Dallas, TX PMSA"""
3885415,18045.8,6967.5,215.3,557.6,"""Dallas-Fort Worth, TX CMSA"""
187867,835.3,322.5,224.9,582.5,"""Danbury, CT PMSA"""
108711,2626,1013.9,41.4,107.2,"""Danville, VA MSA"""
350861,4423.6,1708,79.3,205.4,"""Davenport-Rock Island-Moline, IA-IL MSA"""
370712,2864.2,1105.9,129.4,335.2,"""Daytona Beach, FL MSA"""
951270,4360.7,1683.7,218.1,565,"""Dayton-Springfield, OH MSA"""
131556,3304,1275.7,39.8,103.1,"""Decatur, AL MSA"""
117206,1503.6,580.6,77.9,201.9,"""Decatur, IL MSA"""
1622980,9740.6,3760.9,166.6,431.5,"""Denver, CO PMSA"""
1848319,11663.6,4503.3,158.5,410.4,"""Denver-Boulder, CO CMSA"""
392928,4474.7,1727.7,87.8,227.4,"""Des Moines, IA MSA"""
4382299,11565.9,4465.6,378.9,981.3,"""Detroit, MI PMSA"""
4665236,13405,5175.7,348,901.4,"""Detroit-Ann Arbor, MI CMSA"""
130964,2956.6,1141.5,44.3,114.7,"""Dothan, AL MSA"""
86403,1575.3,608.2,54.8,142.1,"""Dubuque, IA MSA"""
239971,19515.4,7534.9,12.3,31.8,"""Duluth, MN-WI MSA"""
137543,4268.7,1648.1,32.2,83.5,"""Eau Claire, WI MSA"""
