Target Geo Id 2000,Target Geo Id2 2000,Geographical Area,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000
3800000US0040,40,"United States - In metropolitan statistical area - Abilene, TX MSA","Abilene, TX MSA",126555,52056,919.25,3.63,915.63,138.2,56.9
3800000US0120,120,"United States - In metropolitan statistical area - Albany, GA MSA","Albany, GA MSA",120822,48469,696.65,11.28,685.37,176.3,70.7
3800000US0160,160,"United States - In metropolitan statistical area - Albany--Schenectady--Troy, NY MSA","Albany--Schenectady--Troy, NY MSA",875583,386262,3288.62,66.42,3222.19,271.7,119.9
3800000US0200,200,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",712738,298583,5951.18,8.18,5943,119.9,50.2
3800000US0220,220,"United States - In metropolitan statistical area - Alexandria, LA MSA","Alexandria, LA MSA",126337,52038,1361.96,39.42,1322.54,95.5,39.3
3800000US0240,240,"United States - In metropolitan statistical area - Allentown--Bethlehem--Easton, PA MSA","Allentown--Bethlehem--Easton, PA MSA",637958,266112,1112.94,11.44,1101.5,579.2,241.6
3800000US0280,280,"United States - In metropolitan statistical area - Altoona, PA MSA","Altoona, PA MSA",129144,55061,527.11,1.31,525.8,245.6,104.7
3800000US0320,320,"United States - In metropolitan statistical area - Amarillo, TX MSA","Amarillo, TX MSA",217858,87859,1844.4,20.73,1823.68,119.5,48.2
3800000US0380,380,"United States - In metropolitan statistical area - Anchorage, AK MSA","Anchorage, AK MSA",260283,100368,1961.09,263.88,1697.21,153.4,59.1
3800000US0450,450,"United States - In metropolitan statistical area - Anniston, AL MSA","Anniston, AL MSA",112249,51322,612.32,3.86,608.46,184.5,84.3
3800000US0460,460,"United States - In metropolitan statistical area - Appleton--Oshkosh--Neenah, WI MSA","Appleton--Oshkosh--Neenah, WI MSA",358365,143093,1620.12,221.36,1398.76,256.2,102.3
3800000US0480,480,"United States - In metropolitan statistical area - Asheville, NC MSA","Asheville, NC MSA",225965,103695,1111.39,5.98,1105.41,204.4,93.8
3800000US0500,500,"United States - In metropolitan statistical area - Athens, GA MSA","Athens, GA MSA",153444,62174,593,2.62,590.38,259.9,105.3
3800000US0520,520,"United States - In metropolitan statistical area - Atlanta, GA MSA","Atlanta, GA MSA",4112198,1589568,6207.94,84.14,6123.8,671.5,259.6
3800000US0580,580,"United States - In metropolitan statistical area - Auburn--Opelika, AL MSA","Auburn--Opelika, AL MSA",115092,50329,615.55,6.84,608.71,189.1,82.7
3800000US0600,600,"United States - In metropolitan statistical area - Augusta--Aiken, GA--SC MSA","Augusta--Aiken, GA--SC MSA",477441,195759,2489.52,41.14,2448.38,195,80
3800000US0640,640,"United States - In metropolitan statistical area - Austin--San Marcos, TX MSA","Austin--San Marcos, TX MSA",1249763,496004,4279.94,55.92,4224.02,295.9,117.4
3800000US0680,680,"United States - In metropolitan statistical area - Bakersfield, CA MSA","Bakersfield, CA MSA",661645,231564,8161.42,20.46,8140.96,81.3,28.4
3800000US0730,730,"United States - In metropolitan statistical area - Bangor, ME MSA","Bangor, ME MSA",90864,39189,427.44,30.11,397.33,228.7,98.6
3800000US0740,740,"United States - In metropolitan statistical area - Barnstable--Yarmouth, MA MSA","Barnstable--Yarmouth, MA MSA",162582,106941,329.64,69.83,259.81,625.8,411.6
3800000US0760,760,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",602894,242827,1679.89,93.71,1586.18,380.1,153.1
3800000US0840,840,"United States - In metropolitan statistical area - Beaumont--Port Arthur, TX MSA","Beaumont--Port Arthur, TX MSA",385090,156697,2388.17,233.89,2154.28,178.8,72.7
3800000US0860,860,"United States - In metropolitan statistical area - Bellingham, WA MSA","Bellingham, WA MSA",166814,73893,2503.55,384.02,2119.53,78.7,34.9
3800000US0870,870,"United States - In metropolitan statistical area - Benton Harbor, MI MSA","Benton Harbor, MI MSA",162453,73445,1581.38,1010.39,571,284.5,128.6
3800000US0880,880,"United States - In metropolitan statistical area - Billings, MT MSA","Billings, MT MSA",129352,54563,2649.05,13.9,2635.15,49.1,20.7
3800000US0920,920,"United States - In metropolitan statistical area - Biloxi--Gulfport--Pascagoula, MS MSA","Biloxi--Gulfport--Pascagoula, MS MSA",363988,152386,2571.98,787.22,1784.76,203.9,85.4
3800000US0960,960,"United States - In metropolitan statistical area - Binghamton, NY MSA","Binghamton, NY MSA",252320,110227,1238.37,12.86,1225.51,205.9,89.9
3800000US1000,1000,"United States - In metropolitan statistical area - Birmingham, AL MSA","Birmingham, AL MSA",921106,395925,3237.54,50.91,3186.64,289.1,124.2
