Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US10180,10180,"United States - In metropolitan statistical area - Abilene, TX MSA","Abilene, TX MSA",165252,69721,2757.71,14.23,2743.48,60.2,25.4
310M100US10420,10420,"United States - In metropolitan statistical area - Akron, OH MSA","Akron, OH MSA",703200,312581,924.12,23.99,900.13,781.2,347.3
310M100US10500,10500,"United States - In metropolitan statistical area - Albany, GA MSA","Albany, GA MSA",157308,66060,1957.96,25.41,1932.56,81.4,34.2
310M100US10580,10580,"United States - In metropolitan statistical area - Albany-Schenectady-Troy, NY MSA","Albany-Schenectady-Troy, NY MSA",870716,393297,2878.22,66.66,2811.55,309.7,139.9
310M100US10740,10740,"United States - In metropolitan statistical area - Albuquerque, NM MSA","Albuquerque, NM MSA",887077,374404,9297.16,14.66,9282.5,95.6,40.3
310M100US10780,10780,"United States - In metropolitan statistical area - Alexandria, LA MSA","Alexandria, LA MSA",153922,64570,2026.31,65.32,1960.99,78.5,32.9
310M100US10900,10900,"United States - In metropolitan statistical area - Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown-Bethlehem-Easton, PA-NJ MSA",821173,342200,1475.88,22.66,1453.22,565.1,235.5
310M100US11020,11020,"United States - In metropolitan statistical area - Altoona, PA MSA","Altoona, PA MSA",127089,56276,527.07,1.27,525.8,241.7,107
310M100US11100,11100,"United States - In metropolitan statistical area - Amarillo, TX MSA","Amarillo, TX MSA",249881,102546,3682.35,33.11,3649.24,68.5,28.1
310M100US11180,11180,"United States - In metropolitan statistical area - Ames, IA MSA","Ames, IA MSA",89542,36789,573.65,0.83,572.82,156.3,64.2
310M100US11260,11260,"United States - In metropolitan statistical area - Anchorage, AK MSA","Anchorage, AK MSA",380821,154361,27218.61,906.03,26312.58,14.5,5.9
310M100US11300,11300,"United States - In metropolitan statistical area - Anderson, IN MSA","Anderson, IN MSA",131636,59068,452.9,0.99,451.92,291.3,130.7
310M100US11340,11340,"United States - In metropolitan statistical area - Anderson, SC MSA","Anderson, SC MSA",187126,84774,757.44,42.01,715.43,261.6,118.5
310M100US11460,11460,"United States - In metropolitan statistical area - Ann Arbor, MI MSA","Ann Arbor, MI MSA",344791,147573,722.42,16.45,705.97,488.4,209
310M100US11500,11500,"United States - In metropolitan statistical area - Anniston-Oxford, AL MSA","Anniston-Oxford, AL MSA",118572,53289,612.29,6.42,605.87,195.7,88
310M100US11540,11540,"United States - In metropolitan statistical area - Appleton, WI MSA","Appleton, WI MSA",225666,92844,1041.67,85.91,955.76,236.1,97.1
310M100US11700,11700,"United States - In metropolitan statistical area - Asheville, NC MSA","Asheville, NC MSA",424858,213637,2041.43,8.43,2033,209,105.1
310M100US12020,12020,"United States - In metropolitan statistical area - Athens-Clarke County, GA MSA","Athens-Clarke County, GA MSA",192541,81719,1035.03,10.22,1024.81,187.9,79.7
310M100US12060,12060,"United States - In metropolitan statistical area - Atlanta-Sandy Springs-Marietta, GA MSA","Atlanta-Sandy Springs-Marietta, GA MSA",5268860,2165495,8481.03,142.49,8338.54,631.9,259.7
310M100US12100,12100,"United States - In metropolitan statistical area - Atlantic City-Hammonton, NJ MSA","Atlantic City-Hammonton, NJ MSA",274549,126647,671.83,116.12,555.7,494.1,227.9
310M100US12220,12220,"United States - In metropolitan statistical area - Auburn-Opelika, AL MSA","Auburn-Opelika, AL MSA",140247,62391,615.85,8.31,607.54,230.8,102.7
310M100US12260,12260,"United States - In metropolitan statistical area - Augusta-Richmond County, GA-SC MSA","Augusta-Richmond County, GA-SC MSA",556877,236949,3324.86,54.58,3270.28,170.3,72.5
310M100US12420,12420,"United States - In metropolitan statistical area - Austin-Round Rock-San Marcos, TX MSA","Austin-Round Rock-San Marcos, TX MSA",1716289,706505,4280.08,60.19,4219.89,406.7,167.4
310M100US12540,12540,"United States - In metropolitan statistical area - Bakersfield-Delano, CA MSA","Bakersfield-Delano, CA MSA",839631,284367,8162.64,30.72,8131.92,103.3,35
310M100US12580,12580,"United States - In metropolitan statistical area - Baltimore-Towson, MD MSA","Baltimore-Towson, MD MSA",2710489,1132251,3105.02,503.54,2601.48,1041.9,435.2
310M100US12620,12620,"United States - In metropolitan statistical area - Bangor, ME MSA","Bangor, ME MSA",153923,73860,3557.08,159.72,3397.36,45.3,21.7
310M100US12700,12700,"United States - In metropolitan statistical area - Barnstable Town, MA MSA","Barnstable Town, MA MSA",215888,160281,1305.54,911.81,393.72,548.3,407.1
310M100US12940,12940,"United States - In metropolitan statistical area - Baton Rouge, LA MSA","Baton Rouge, LA MSA",802484,329729,4214.53,187.61,4026.92,199.3,81.9
310M100US12980,12980,"United States - In metropolitan statistical area - Battle Creek, MI MSA","Battle Creek, MI MSA",136146,61042,718.35,12.12,706.23,192.8,86.4
310M100US13020,13020,"United States - In metropolitan statistical area - Bay City, MI MSA","Bay City, MI MSA",107771,48220,630.72,188.41,442.3,243.7,109
310M100US13140,13140,"United States - In metropolitan statistical area - Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur, TX MSA",388745,162334,2389.73,289.2,2100.53,185.1,77.3
310M100US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA MSA","Bellingham, WA MSA",201140,90665,2503.47,396.61,2106.86,95.5,43
310M100US13460,13460,"United States - In metropolitan statistical area - Bend, OR MSA","Bend, OR MSA",157733,80139,3054.77,36.58,3018.19,52.3,26.6
310M100US13740,13740,"United States - In metropolitan statistical area - Billings, MT MSA","Billings, MT MSA",158050,70384,4711.19,29.11,4682.08,33.8,15
