City Name,Country,Region,CBD Location,,Land Cover Dates,,,Share of Built-up Area Occupied by Roads,,Average Road Width (meters),,Share of Roads Less Than 4 Meters Wide,,Share of Roads More Than 16 Meters Wide,,Density of All Arterial Roads (km/km2),,Average Beeline Distance to All Arterial Roads (meters),,Share of Area within Walking Distance of All Arterial Roads,,Share of Area within Walking Distance of Wide Arterial Roads ,,Average Block Size (ha),,3-Way Intersection Density (number per km2),,4-Way Intersection Density (number per km2 ),,Share of Intersections that are 4-Way ,,Walkability Ratio,,Share of Built-up Area That Is Residential,,Share of Residential Areas Laid Out Before Development,,Share of Residential Areas Not Laid Out Before Development,,Share of Built-up Area That Is Gridded,,Share of Residential Area in Informal Land Subdivisions,,Share of Residential Area in Formal Land Subdivisions,,Share of Residential Area in Housing Projects,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,
,,,Latitude,Longitude,T1,T2,T3,Pre-1990,1990 - 2015,Pre-1990, 1990 - 2015 ,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990, 1990 - 2015 ,Pre-1990, 1990 - 2015 ,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015,Pre-1990,1990 - 2015
Accra,Ghana,Sub-Saharan Africa,5.615,-0.159,1/1/91,2/1/00,3/1/14,16%,14%, 9.0 , 6.6 ,8%,26%,8%,3%, 1.90 , 0.82 , 199 , 575 ,96%,68%,77%,49%,6.2,3.9,47.3,117.3,14.3,8.9,19%,5%, 1.8 , 1.7 ,70%,79%,51%,52%,43%,48%,24%,10%,34%,47%,13%,5%,10%,0%, 22 , 949 , 555 , 636 
Addis Ababa,Ethiopia,Sub-Saharan Africa,9.001,38.756,1/1/86,12/1/00,12/1/10,18%,22%, 9.0 , 8.1 ,13%,15%,13%,8%, 2.68 , 1.65 , 123 , 257 ,99%,90%,94%,84%,3.1,3.2,104.4,176.3,10.1,28.2,8%,13%, 1.8 , 1.6 ,56%,73%,35%,58%,65%,42%,3%,30%,15%,44%,18%,2%,1%,13%,, 244 , 675 , 187 
Ahmedabad,India,South and Central Asia,23.037,72.589,12/1/89,10/1/00,10/1/13,23%,24%, 7.2 , 8.4 ,37%,18%,9%,9%, 1.86 , 1.61 , 185 , 218 ,97%,95%,93%,90%,2.4,4.2,297.5,139.4,35.1,27.9,9%,17%, 1.8 , 1.6 ,72%,74%,80%,86%,20%,14%,0%,0%,31%,31%,36%,10%,14%,44%, 342 , 100 , 389 , 120 
Ahvaz,Iran,South and Central Asia,31.320,48.665,11/1/91,9/1/00,9/1/13,27%,23%, 10.9 , 8.5 ,12%,20%,18%,10%, 2.03 , 1.64 , 197 , 253 ,96%,91%,95%,87%,2.2,3.5,96.8,106.4,23.6,19.1,17%,14%, 1.6 , 2.0 ,78%,61%,100%,92%,0%,8%,15%,0%,16%,29%,75%,42%,9%,21%, 181 , 295 , 207 , 217 
Alexandria,Egypt,Western Asia and North Africa,31.152,29.884,10/1/87,4/1/99,7/1/13,16%,23%, 7.5 , 9.1 ,21%,27%,8%,14%, 2.71 , 1.45 , 162 , 356 ,97%,81%,83%,70%,1.9,5.2,120.4,198.5,22.3,26.4,10%,9%, 1.8 , 2.0 ,64%,82%,95%,80%,5%,20%,15%,0%,15%,55%,73%,3%,7%,22%,,, 354 ,
Algiers,Algeria,Western Asia and North Africa,36.732,3.140,8/1/87,6/1/00,7/1/14,23%,25%, 9.5 , 6.6 ,13%,19%,14%,3%, 1.68 , 1.09 , 267 , 376 ,89%,80%,87%,68%,4.5,6.7,61.8,140.0,16.2,14.1,9%,6%, 1.9 , 1.8 ,62%,60%,35%,67%,60%,33%,2%,8%,3%,16%,23%,25%,14%,26%,,, 356 , 225 
"Anqing, Anhui",China,East Asia and the Pacific,30.536,117.050,9/1/90,4/1/00,10/1/13,24%,25%, 8.3 , 9.3 ,24%,35%,14%,14%, 1.57 , 1.23 , 251 , 336 ,92%,85%,91%,86%,3.8,4.8,191.0,121.2,23.8,14.6,9%,8%, 1.8 , 1.5 ,47%,60%,61%,65%,39%,35%,0%,3%,5%,14%,23%,7%,33%,45%,,,,
Antwerp,Belgium,Europe and Japan,51.220,4.403,7/1/90,8/1/00,9/1/13,14%,13%, 7.9 , 7.1 ,22%,21%,6%,2%, 1.65 , 1.40 , 228 , 248 ,93%,91%,61%,49%,7.1,14.7,62.3,55.2,5.1,6.4,8%,9%, 1.8 , 1.4 ,65%,71%,84%,14%,16%,86%,,0%,0%,0%,81%,14%,3%,0%,,,," 1,448 "
Arusha,Tanzania,Sub-Saharan Africa,-3.373,36.679,10/1/88,9/1/00,10/1/13,21%,10%, 8.7 , 4.7 ,21%,65%,11%,5%, 2.86 , 0.99 , 104 , 219 ,100%,95%,100%,84%,4.8,5.0,111.4,127.6,17.8,11.4,14%,5%, 1.6 , 1.6 ,58%,79%,65%,15%,35%,85%,18%,0%,35%,12%,29%,2%,2%,1%, 553 , 369 , 456 , 654 
