MSA GEOID,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,Pollutant 1990,Pollutant 1991,Pollutant 1992,Pollutant 1993,Pollutant 1994,Pollutant 1995,Pollutant 1996,Pollutant 1997,Pollutant 1998,Pollutant 1999,Pollutant 2000,Pollutant 2001,Pollutant 2002,Pollutant 2003,Pollutant 2004,Pollutant 2005,Pollutant 2006,Pollutant 2007,Pollutant 2008,Pollutant 2009,Pollutant 2010,Pollutant 2011,Pollutant 2012,Pollutant 2013,Pollutant 2014,Pollutant 2015,Pollutant 2016,MSA,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000,Population 2001,Population 2002,Population 2003,Population 2004,Population 2005,Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
10100,"Aberdeen, SD",PM25,Weighted Annual Mean,1,,,,,,,,,,,8.6,8.6,7.9,8.4,8.1,9,8.2,8,7.7,8.1,8.7,7.1,7.5,7.3,6.2,6.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,"Aberdeen, SD",PM25,98th Percentile,1,,,,,,,,,,,23,23,20,21,23,23,21,17,28,23,27,18,23,22,17,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,"Akron, OH",CO,2nd Max,1,5.7,3.3,4.1,3.1,5.3,3.3,3.4,3.2,2.6,2.5,2.4,2.7,1.8,1.9,2.1,1.6,1.4,1.4,1.3,1.8,1.4,1,1.1,0.8,0.8,1,1.1,"Akron, OH PMSA",657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
10420,"Akron, OH",O3,4th Max,2,0.09,0.101,0.087,0.093,0.086,0.092,0.091,0.087,0.097,0.097,0.085,0.096,0.1,0.09,0.079,0.091,0.074,0.087,0.075,0.067,0.074,0.073,0.072,0.059,0.06,0.065,0.06,"Akron, OH PMSA",657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
10420,"Akron, OH",PM25,Weighted Annual Mean,3,,,,,,,,,,,16.2,16.2,16,14.1,13.8,15.7,12.8,14.1,12.9,11.7,12.4,11.1,10,9.7,9.9,10.4,8.2,"Akron, OH PMSA",657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
10420,"Akron, OH",PM25,98th Percentile,3,,,,,,,,,,,37,44,40,34,35,43,31,31,33,26,32,25,19,24,22,23,17,"Akron, OH PMSA",657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
10420,"Akron, OH",SO2,99th Percentile,1,161,183,181,209,132,123,133,155,143,158,163,132,145,167,172,140,138,46,34,31,27,24,22,23,21,14,8,"Akron, OH PMSA",657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
10500,"Albany, GA",PM25,Weighted Annual Mean,1,,,,,,,,,,,16.6,14.6,13.8,13.4,14.1,14.6,14.9,15,12.8,11.8,12.3,12.1,10.6,10,10.3,9,8.7,"Albany, GA MSA",112561,113387.1,114213.2,115039.3,115865.4,116691.5,117517.6,118343.7,119169.8,119995.9,120822,124470.6,128119.2,131767.8,135416.4,139065,142713.6,146362.2,150010.8,153659.4,157308,164.2,165.41,166.62,167.83,169.04,170.25,171.46,172.67,173.88,175.09,176.3,166.81,157.32,147.83,138.34,128.85,119.36,109.87,100.38,90.89,81.4
10500,"Albany, GA",PM25,98th Percentile,1,,,,,,,,,,,38,36,31,27,36,35,35,43,32,32,30,29,25,26,23,21,20,"Albany, GA MSA",112561,113387.1,114213.2,115039.3,115865.4,116691.5,117517.6,118343.7,119169.8,119995.9,120822,124470.6,128119.2,131767.8,135416.4,139065,142713.6,146362.2,150010.8,153659.4,157308,164.2,165.41,166.62,167.83,169.04,170.25,171.46,172.67,173.88,175.09,176.3,166.81,157.32,147.83,138.34,128.85,119.36,109.87,100.38,90.89,81.4
10580,"Albany-Schenectady-Troy, NY",O3,4th Max,2,0.086,0.086,0.086,0.082,0.08,0.079,0.077,0.08,0.079,0.088,0.07,0.089,0.091,0.081,0.075,0.082,0.07,0.078,0.078,0.066,0.072,0.066,0.071,0.063,0.061,0.062,0.068,"Albany--Schenectady--Troy, NY MSA",874304,874431.9,874559.8,874687.7,874815.6,874943.5,875071.4,875199.3,875327.2,875455.1,875583,875096.3,874609.6,874122.9,873636.2,873149.5,872662.8,872176.1,871689.4,871202.7,870716,269.1,269.36,269.62,269.88,270.14,270.4,270.66,270.92,271.18,271.44,271.7,275.5,279.3,283.1,286.9,290.7,294.5,298.3,302.1,305.9,309.7
10580,"Albany-Schenectady-Troy, NY",PM25,Weighted Annual Mean,1,,,,,,,,,,,12.4,12.3,12.1,11.9,11,12.6,9.3,10.1,9.5,8.3,7.9,8.8,7.6,7.1,7.2,7.8,6.3,"Albany--Schenectady--Troy, NY MSA",874304,874431.9,874559.8,874687.7,874815.6,874943.5,875071.4,875199.3,875327.2,875455.1,875583,875096.3,874609.6,874122.9,873636.2,873149.5,872662.8,872176.1,871689.4,871202.7,870716,269.1,269.36,269.62,269.88,270.14,270.4,270.66,270.92,271.18,271.44,271.7,275.5,279.3,283.1,286.9,290.7,294.5,298.3,302.1,305.9,309.7
10580,"Albany-Schenectady-Troy, NY",PM25,98th Percentile,1,,,,,,,,,,,30,31,33,34,32,36,31,31,26,23,24,24,18,20,19,20,18,"Albany--Schenectady--Troy, NY MSA",874304,874431.9,874559.8,874687.7,874815.6,874943.5,875071.4,875199.3,875327.2,875455.1,875583,875096.3,874609.6,874122.9,873636.2,873149.5,872662.8,872176.1,871689.4,871202.7,870716,269.1,269.36,269.62,269.88,270.14,270.4,270.66,270.92,271.18,271.44,271.7,275.5,279.3,283.1,286.9,290.7,294.5,298.3,302.1,305.9,309.7
10740,"Albuquerque, NM",CO,2nd Max,1,5.1,5.5,4.4,5,4.5,3.8,4.1,3.5,3.7,3.8,3.3,2.9,2.8,2.1,2.2,2,2,1.6,1.2,1.1,1.1,1.3,1.6,0.9,1.2,1.4,1.2,"Albuquerque, NM MSA",480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
