MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Abilene, TX MSA",10180,119655,120345,121035,121725,122415,123105,123795,124485,125175,125865,126555,130424.7,134294.4,138164.1,142033.8,145903.5,149773.2,153642.9,157512.6,161382.3,165252,130.7,131.45,132.2,132.95,133.7,134.45,135.2,135.95,136.7,137.45,138.2,130.4,122.6,114.8,107,99.2,91.4,83.6,75.8,68,60.2
"Aguadilla, PR MSA",10380,,,,,,,,,,,146424,162410.8,178397.6,194384.4,210371.2,226358,242344.8,258331.6,274318.4,290305.2,306292,,,,,,,,,,,1242.9,1204.05,1165.2,1126.35,1087.5,1048.65,1009.8,970.95,932.1,893.25,854.4
"Akron, OH PMSA",10420,657575,661313.5,665052,668790.5,672529,676267.5,680006,683744.5,687483,691221.5,694960,695784,696608,697432,698256,699080,699904,700728,701552,702376,703200,726.4,730.54,734.68,738.82,742.96,747.1,751.24,755.38,759.52,763.66,767.8,769.14,770.48,771.82,773.16,774.5,775.84,777.18,778.52,779.86,781.2
"Albany, GA MSA",10500,112561,113387.1,114213.2,115039.3,115865.4,116691.5,117517.6,118343.7,119169.8,119995.9,120822,124470.6,128119.2,131767.8,135416.4,139065,142713.6,146362.2,150010.8,153659.4,157308,164.2,165.41,166.62,167.83,169.04,170.25,171.46,172.67,173.88,175.09,176.3,166.81,157.32,147.83,138.34,128.85,119.36,109.87,100.38,90.89,81.4
"Albany--Schenectady--Troy, NY MSA",10580,874304,874431.9,874559.8,874687.7,874815.6,874943.5,875071.4,875199.3,875327.2,875455.1,875583,875096.3,874609.6,874122.9,873636.2,873149.5,872662.8,872176.1,871689.4,871202.7,870716,269.1,269.36,269.62,269.88,270.14,270.4,270.66,270.92,271.18,271.44,271.7,275.5,279.3,283.1,286.9,290.7,294.5,298.3,302.1,305.9,309.7
"Albuquerque, NM MSA",10740,480577,503793.1,527009.2,550225.3,573441.4,596657.5,619873.6,643089.7,666305.8,689521.9,712738,730171.9,747605.8,765039.7,782473.6,799907.5,817341.4,834775.3,852209.2,869643.1,887077,412.1,382.88,353.66,324.44,295.22,266,236.78,207.56,178.34,149.12,119.9,117.47,115.04,112.61,110.18,107.75,105.32,102.89,100.46,98.03,95.6
"Alexandria, LA MSA",10780,131556,131034.1,130512.2,129990.3,129468.4,128946.5,128424.6,127902.7,127380.8,126858.9,126337,129095.5,131854,134612.5,137371,140129.5,142888,145646.5,148405,151163.5,153922,99.5,99.1,98.7,98.3,97.9,97.5,97.1,96.7,96.3,95.9,95.5,93.8,92.1,90.4,88.7,87,85.3,83.6,81.9,80.2,78.5
"Allentown--Bethlehem--Easton, PA MSA",10900,686688,681815,676942,672069,667196,662323,657450,652577,647704,642831,637958,656279.5,674601,692922.5,711244,729565.5,747887,766208.5,784530,802851.5,821173,470,480.92,491.84,502.76,513.68,524.6,535.52,546.44,557.36,568.28,579.2,577.79,576.38,574.97,573.56,572.15,570.74,569.33,567.92,566.51,565.1
"Altoona, PA MSA",11020,130542,130402.2,130262.4,130122.6,129982.8,129843,129703.2,129563.4,129423.6,129283.8,129144,128938.5,128733,128527.5,128322,128116.5,127911,127705.5,127500,127294.5,127089,248.3,248.03,247.76,247.49,247.22,246.95,246.68,246.41,246.14,245.87,245.6,245.21,244.82,244.43,244.04,243.65,243.26,242.87,242.48,242.09,241.7
"Amarillo, TX MSA",11100,187547,190578.1,193609.2,196640.3,199671.4,202702.5,205733.6,208764.7,211795.8,214826.9,217858,221060.3,224262.6,227464.9,230667.2,233869.5,237071.8,240274.1,243476.4,246678.7,249881,102.8,104.47,106.14,107.81,109.48,111.15,112.82,114.49,116.16,117.83,119.5,114.4,109.3,104.2,99.1,94,88.9,83.8,78.7,73.6,68.5
"Anchorage, AK MSA",11260,226338,229732.5,233127,236521.5,239916,243310.5,246705,250099.5,253494,256888.5,260283,272336.8,284390.6,296444.4,308498.2,320552,332605.8,344659.6,356713.4,368767.2,380821,133.3,135.31,137.32,139.33,141.34,143.35,145.36,147.37,149.38,151.39,153.4,139.51,125.62,111.73,97.84,83.95,70.06,56.17,42.28,28.39,14.5
"Ann Arbor, MI PMSA",11460,282937,312516.9,342096.8,371676.7,401256.6,430836.5,460416.4,489996.3,519576.2,549156.1,578736,555341.5,531947,508552.5,485158,461763.5,438369,414974.5,391580,368185.5,344791,398.5,387.18,375.86,364.54,353.22,341.9,330.58,319.26,307.94,296.62,285.3,305.61,325.92,346.23,366.54,386.85,407.16,427.47,447.78,468.09,488.4
"Anniston, AL MSA",11500,116034,115655.5,115277,114898.5,114520,114141.5,113763,113384.5,113006,112627.5,112249,112881.3,113513.6,114145.9,114778.2,115410.5,116042.8,116675.1,117307.4,117939.7,118572,190.7,190.08,189.46,188.84,188.22,187.6,186.98,186.36,185.74,185.12,184.5,185.62,186.74,187.86,188.98,190.1,191.22,192.34,193.46,194.58,195.7
"Appleton--Oshkosh--Neenah, WI MSA",,315121,319445.4,323769.8,328094.2,332418.6,336743,341067.4,345391.8,349716.2,354040.6,358365,,,,,,,,,,,225.3,228.39,231.48,234.57,237.66,240.75,243.84,246.93,250.02,253.11,256.2,,,,,,,,,,
"Arecibo, PR PMSA",,,,,,,,,,,,174300,156870,139440,122010,104580,87150,69720,52290,34860,17430,,,,,,,,,,,,813.7,,,,,,,,,,
"Asheville, NC MSA",11700,174821,179935.4,185049.8,190164.2,195278.6,200393,205507.4,210621.8,215736.2,220850.6,225965,245854.3,265743.6,285632.9,305522.2,325411.5,345300.8,365190.1,385079.4,404968.7,424858,266.4,260.2,254,247.8,241.6,235.4,229.2,223,216.8,210.6,204.4,204.86,205.32,205.78,206.24,206.7,207.16,207.62,208.08,208.54,209
"Athens, GA MSA",12020,156267,155984.7,155702.4,155420.1,155137.8,154855.5,154573.2,154290.9,154008.6,153726.3,153444,157353.7,161263.4,165173.1,169082.8,172992.5,176902.2,180811.9,184721.6,188631.3,192541,167.4,176.65,185.9,195.15,204.4,213.65,222.9,232.15,241.4,250.65,259.9,252.7,245.5,238.3,231.1,223.9,216.7,209.5,202.3,195.1,187.9
"Atlanta, GA MSA",12060,2833511,2961379.7,3089248.4,3217117.1,3344985.8,3472854.5,3600723.2,3728591.9,3856460.6,3984329.3,4112198,4227864.2,4343530.4,4459196.6,4574862.8,4690529,4806195.2,4921861.4,5037527.6,5153193.8,5268860,553.3,565.12,576.94,588.76,600.58,612.4,624.22,636.04,647.86,659.68,671.5,,,,,,,,,,
"Atlantic--Cape May, NJ PMSA",,319416,322962.2,326508.4,330054.6,333600.8,337147,340693.2,344239.4,347785.6,351331.8,354878,319390.2,283902.4,248414.6,212926.8,177439,141951.2,106463.4,70975.6,35487.8,,391.3,395.65,400,404.35,408.7,413.05,417.4,421.75,426.1,430.45,434.8,,,,,,,,,,
"Auburn--Opelika, AL MSA",12220,,,,,,,,,,,115092,117607.5,120123,122638.5,125154,127669.5,130185,132700.5,135216,137731.5,140247,,,,,,,,,,,189.1,193.27,197.44,201.61,205.78,209.95,214.12,218.29,222.46,226.63,230.8
"Augusta--Aiken, GA--SC MSA",12260,396809,404872.2,412935.4,420998.6,429061.8,437125,445188.2,453251.4,461314.6,469377.8,477441,485384.6,493328.2,501271.8,509215.4,517159,525102.6,533046.2,540989.8,548933.4,556877,203.8,202.92,202.04,201.16,200.28,199.4,198.52,197.64,196.76,195.88,195,192.53,190.06,187.59,185.12,182.65,180.18,177.71,175.24,172.77,170.3
"Austin--San Marcos, TX MSA",12420,781572,828391.1,875210.2,922029.3,968848.4,1015667.5,1062486.6,1109305.7,1156124.8,1202943.9,1249763,1296415.6,1343068.2,1389720.8,1436373.4,1483026,1529678.6,1576331.2,1622983.8,1669636.4,1716289,280,281.59,283.18,284.77,286.36,287.95,289.54,291.13,292.72,294.31,295.9,306.98,318.06,329.14,340.22,351.3,362.38,373.46,384.54,395.62,406.7
"Bakersfield, CA MSA",12540,543477,555293.8,567110.6,578927.4,590744.2,602561,614377.8,626194.6,638011.4,649828.2,661645,679443.6,697242.2,715040.8,732839.4,750638,768436.6,786235.2,804033.8,821832.4,839631,66.8,68.25,69.7,71.15,72.6,74.05,75.5,76.95,78.4,79.85,81.3,83.5,85.7,87.9,90.1,92.3,94.5,96.7,98.9,101.1,103.3
"Baltimore, MD PMSA",12580,2382172,2399254.2,2416336.4,2433418.6,2450500.8,2467583,2484665.2,2501747.4,2518829.6,2535911.8,2552994,2568743.5,2584493,2600242.5,2615992,2631741.5,2647491,2663240.5,2678990,2694739.5,2710489,913,919.55,926.1,932.65,939.2,945.75,952.3,958.85,965.4,971.95,978.5,984.84,991.18,997.52,1003.86,1010.2,1016.54,1022.88,1029.22,1035.56,1041.9
"Bangor, ME MSA",12620,88745,88956.9,89168.8,89380.7,89592.6,89804.5,90016.4,90228.3,90440.2,90652.1,90864,97169.9,103475.8,109781.7,116087.6,122393.5,128699.4,135005.3,141311.2,147617.1,153923,252.2,249.85,247.5,245.15,242.8,240.45,238.1,235.75,233.4,231.05,228.7,210.36,192.02,173.68,155.34,137,118.66,100.32,81.98,63.64,45.3
"Barnstable--Yarmouth, MA MSA",12700,,,,,,,,,,,162582,167912.6,173243.2,178573.8,183904.4,189235,194565.6,199896.2,205226.8,210557.4,215888,,,,,,,,,,,625.8,618.05,610.3,602.55,594.8,587.05,579.3,571.55,563.8,556.05,548.3
"Baton Rouge, LA MSA",12940,528264,535727,543190,550653,558116,565579,573042,580505,587968,595431,602894,622853,642812,662771,682730,702689,722648,742607,762566,782525,802484,333,337.71,342.42,347.13,351.84,356.55,361.26,365.97,370.68,375.39,380.1,362.02,343.94,325.86,307.78,289.7,271.62,253.54,235.46,217.38,199.3
"Beaumont--Port Arthur, TX MSA",13140,361226,363612.4,365998.8,368385.2,370771.6,373158,375544.4,377930.8,380317.2,382703.6,385090,385455.5,385821,386186.5,386552,386917.5,387283,387648.5,388014,388379.5,388745,167.7,168.81,169.92,171.03,172.14,173.25,174.36,175.47,176.58,177.69,178.8,179.43,180.06,180.69,181.32,181.95,182.58,183.21,183.84,184.47,185.1
"Bellingham, WA MSA",13380,127780,131683.4,135586.8,139490.2,143393.6,147297,151200.4,155103.8,159007.2,162910.6,166814,170246.6,173679.2,177111.8,180544.4,183977,187409.6,190842.2,194274.8,197707.4,201140,60.3,62.14,63.98,65.82,67.66,69.5,71.34,73.18,75.02,76.86,78.7,80.38,82.06,83.74,85.42,87.1,88.78,90.46,92.14,93.82,95.5
"Benton Harbor, MI MSA",,161378,161485.5,161593,161700.5,161808,161915.5,162023,162130.5,162238,162345.5,162453,,,,,,,,,,,282.6,282.79,282.98,283.17,283.36,283.55,283.74,283.93,284.12,284.31,284.5,,,,,,,,,,
"Bergen--Passaic, NJ PMSA",,1278440,1287912.7,1297385.4,1306858.1,1316330.8,1325803.5,1335276.2,1344748.9,1354221.6,1363694.3,1373167,,,,,,,,,,,3049.3,3071.73,3094.16,3116.59,3139.02,3161.45,3183.88,3206.31,3228.74,3251.17,3273.6,,,,,,,,,,
"Billings, MT MSA",13740,113419,115012.3,116605.6,118198.9,119792.2,121385.5,122978.8,124572.1,126165.4,127758.7,129352,132221.8,135091.6,137961.4,140831.2,143701,146570.8,149440.6,152310.4,155180.2,158050,43,43.61,44.22,44.83,45.44,46.05,46.66,47.27,47.88,48.49,49.1,47.57,46.04,44.51,42.98,41.45,39.92,38.39,36.86,35.33,33.8
"Biloxi--Gulfport--Pascagoula, MS MSA",,197125,213811.3,230497.6,247183.9,263870.2,280556.5,297242.8,313929.1,330615.4,347301.7,363988,,,,,,,,,,,186.3,188.06,189.82,191.58,193.34,195.1,196.86,198.62,200.38,202.14,203.9,,,,,,,,,,
"Binghamton, NY MSA",13780,264497,263279.3,262061.6,260843.9,259626.2,258408.5,257190.8,255973.1,254755.4,253537.7,252320,252260.5,252201,252141.5,252082,252022.5,251963,251903.5,251844,251784.5,251725,215.8,214.81,213.82,212.83,211.84,210.85,209.86,208.87,207.88,206.89,205.9,205.87,205.84,205.81,205.78,205.75,205.72,205.69,205.66,205.63,205.6
"Birmingham, AL MSA",13820,907810,909139.6,910469.2,911798.8,913128.4,914458,915787.6,917117.2,918446.8,919776.4,921106,941800.1,962494.2,983188.3,1003882.4,1024576.5,1045270.6,1065964.7,1086658.8,1107352.9,1128047,228,234.11,240.22,246.33,252.44,258.55,264.66,270.77,276.88,282.99,289.1,281.56,274.02,266.48,258.94,251.4,243.86,236.32,228.78,221.24,213.7
"Bismarck, ND MSA",13900,83831,84919.8,86008.6,87097.4,88186.2,89275,90363.8,91452.6,92541.4,93630.2,94719,96125,97531,98937,100343,101749,103155,104561,105967,107373,108779,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,27,27.4,27.8,28.2,28.6,29,29.4,29.8,30.2,30.6
"Bloomington, IN MSA",14020,108978,110136.5,111295,112453.5,113612,114770.5,115929,117087.5,118246,119404.5,120563,127778.1,134993.2,142208.3,149423.4,156638.5,163853.6,171068.7,178283.8,185498.9,192714,276.3,279.24,282.18,285.12,288.06,291,293.94,296.88,299.82,302.76,305.7,289.7,273.7,257.7,241.7,225.7,209.7,193.7,177.7,161.7,145.7
"Bloomington--Normal, IL MSA",14060,129180,131305.3,133430.6,135555.9,137681.2,139806.5,141931.8,144057.1,146182.4,148307.7,150433,152346.9,154260.8,156174.7,158088.6,160002.5,161916.4,163830.3,165744.2,167658.1,169572,109.1,110.9,112.7,114.5,116.3,118.1,119.9,121.7,123.5,125.3,127.1,128.72,130.34,131.96,133.58,135.2,136.82,138.44,140.06,141.68,143.3
"Boise City, ID MSA",14260,205775,228432,251089,273746,296403,319060,341717,364374,387031,409688,432345,450766.6,469188.2,487609.8,506031.4,524453,542874.6,561296.2,579717.8,598139.4,616561,195,201.79,208.58,215.37,222.16,228.95,235.74,242.53,249.32,256.11,262.9,241.85,220.8,199.75,178.7,157.65,136.6,115.55,94.5,73.45,52.4
